Date,Open,High,Low,Close,Volume
02-01-2025,243.2631989,248.5005651,241.2380851,248.3309608,55740700
03-01-2025,242.7743683,243.5923871,241.3079045,242.7743683,40244100
06-01-2025,244.4104156,246.7348104,242.6147442,243.7220737,45045600
07-01-2025,241.6271362,244.959095,240.7692052,242.3952723,40856000
08-01-2025,242.1159515,243.1235308,239.4723347,241.3378298,37628900
10-01-2025,236.2800446,239.5820769,232.4393032,239.4324287,61710900
13-01-2025,233.8359222,234.1052768,229.1671917,232.9680207,49630700
14-01-2025,232.7186127,235.5517746,231.9105644,234.1850763,39435300
15-01-2025,237.2975616,238.3849501,233.8658376,234.0753389,39832000
16-01-2025,227.7106934,237.4372303,227.4812511,236.7788301,71759100
17-01-2025,229.4265594,231.7309981,227.9301691,231.561409,68488300
21-01-2025,222.1042175,223.8799328,218.8520682,223.4609453,98070400
22-01-2025,223.2913666,223.580662,219.2610801,219.2610801,64126500
23-01-2025,223.1217804,226.4836658,221.7650525,224.1991833,60234800
24-01-2025,222.2438812,225.0870288,220.877183,224.2390682,54697900
27-01-2025,229.3068542,231.5913368,223.4409993,,94863400
28-01-2025,237.6866302,239.6119937,230.2545615,230.2944737,75707600
29-01-2025,238.7839813,239.2827781,233.44685,,45486100
30-01-2025,237.0182343,240.2105304,236.6391591,238.0956371,55658300
31-01-2025,235.4320831,246.5951576,232.878246,246.5951576,101075100
03-02-2025,227.4612885,231.2721029,225.1568499,229.4365345,73063300
04-02-2025,232.2397766,232.5689843,226.1045673,226.7031295,45067300
05-02-2025,231.9105835,232.1100992,227.7206935,227.9800623,39620300
06-02-2025,232.6587677,233.2373738,229.8754732,230.7334042,29925300
07-02-2025,227.0822144,233.4368801,226.7130944,232.0402553,39707200
10-02-2025,227.3518524,230.2880045,226.9024448,229.2693513,33115600
11-02-2025,232.3153534,1174.60968,45.56624866,227.9011437,53718400
12-02-2025,236.5597839,236.6496777,230.3778881,230.8972113,45243300
13-02-2025,241.2136841,242.0226208,235.261498,236.5997394,53614100
14-02-2025,244.2796631,245.2284159,240.6743904,240.9340444,40896200
18-02-2025,,244.858903,241.5232807,243.8302531,48822500
19-02-2025,244.5493011,245.6878075,242.8415492,244.3395847,32204200
20-02-2025,245.5080566,246.4568094,243.9700649,244.6192228,32316900
21-02-2025,245.2284241,248.3643112,244.8988544,245.6278941,53197400
24-02-2025,246.7763977,248.5340873,244.0998996,244.6092262,51326400
25-02-2025,246.7164612,249.6725914,244.5892611,247.6752106,48013300
26-02-2025,240.0452118,244.6591563,238.8168269,244.0100137,44433600
27-02-2025,236.9892273,242.1424732,236.7495361,239.0964646,41153600
28-02-2025,241.5232697,241.7729422,229.8985146,236.6396745,56833400
03-03-2025,237.7182617,243.7104038,235.8007781,241.4733319,47184000
04-03-2025,235.6210175,239.7556103,234.3726545,237.3987004,53798100
05-03-2025,235.4312744,236.2402112,228.9297903,235.1116862,47227600
06-03-2025,,237.5484902,232.8546486,234.132971,45170400
07-03-2025,238.7569122,241.0538879,234.452544,234.8020917,46273600
10-03-2025,227.1820831,235.8507235,223.926358,235.2315251,72071200
11-03-2025,220.5507813,225.5442332,217.1652215,223.5168929,76137400
12-03-2025,216.6958313,1107.297943,42.92571003,219.8516965,62547500
13-03-2025,,216.5560224,208.1470511,215.6671886,61368300
14-03-2025,213.2104187,213.6698078,209.3055356,210.9733467,60107600
17-03-2025,213.7197418,214.9381453,209.6950208,213.030643,48073400
18-03-2025,212.4114532,214.868223,211.2130279,213.8795293,42432400
19-03-2025,214.9581146,218.4734937,213.4700605,213.9394462,54385400
20-03-2025,213.8196106,217.2051703,211.9420679,213.709754,48862900
21-03-2025,217.9841461,218.5533917,211.0032951,211.2829272,94127800
24-03-2025,220.440918,221.1899357,218.2937398,220.7105686,44299500
25-03-2025,223.4569702,223.8065179,219.7917784,220.4808772,34493600
26-03-2025,221.2398682,224.7253029,220.1812588,223.2172708,34466100
27-03-2025,223.556839,224.6953454,220.2711392,221.100054,37094800
28-03-2025,217.614624,223.5168877,217.3949109,221.379691,39818600
31-03-2025,221.8390961,225.3245157,215.9468138,216.725791,65299300
01-04-2025,222.8977051,223.3870536,218.6133149,219.5221268,36412700
02-04-2025,223.5967865,224.895087,220.73055,221.0301602,35905900
03-04-2025,,207.2182762,200.9864426,205.2708177,103419000
04-04-2025,188.1333008,199.6182403,187.0946542,193.6360794,125910900
07-04-2025,181.2223663,193.8957347,174.3913124,176.9679355,160466300
08-04-2025,172.1941986,190.0907289,168.9884109,186.4554964,120859500
09-04-2025,198.5895844,200.3472739,171.6648855,171.7248045,184395900
10-04-2025,,194.5249145,182.7603429,188.8224009,121880000
11-04-2025,197.8904877,199.2786667,185.8163249,185.8562811,87435900
14-04-2025,202.254776,212.6611277,200.8965565,211.1630922,101352900
15-04-2025,201.8752747,203.2434756,199.5383428,201.5956426,51343900
16-04-2025,194.0155792,200.4371509,192.1180584,198.1002191,59732400
17-04-2025,196.7220306,198.569614,194.1653857,196.9417437,51334300
21-04-2025,192.9070282,193.5461894,189.5614095,193.0168847,46742500
22-04-2025,199.4784241,201.3259922,195.713357,195.8631545,52976400
23-04-2025,204.3320618,207.727603,202.534416,205.7302222,52929200
24-04-2025,208.0971069,208.5565112,202.6742256,,47311000
25-04-2025,209.0059204,209.4753061,205.9299522,206.0997278,38222300
28-04-2025,209.8647919,211.2230114,207.188309,209.7249758,38743100
29-04-2025,210.9333954,211.9620452,208.0971032,208.4166914,36827600
30-04-2025,212.2217102,213.3002977,206.3993433,209.025904,52286500
01-05-2025,213.0406342,214.2790004,208.6264094,208.8061816,57365700
02-05-2025,205.0810699,206.7189215,201.8952453,,101010600
05-05-2025,198.6295319,203.8327155,197.9504297,202.8340251,69018500
06-05-2025,198.2500153,200.387212,196.7619764,197.9504203,51216500
07-05-2025,195.992981,199.1788056,192.9969099,198.9091549,68536700
08-05-2025,197.231369,199.788014,194.4250362,197.4610635,50478900
09-05-2025,198.2700043,200.2773665,197.2812953,198.73939,36453900
12-05-2025,210.7899933,211.2700043,206.75,,63775800
13-05-2025,212.9299927,213.3999939,209,210.4299927,51909300
14-05-2025,212.3300018,213.9400024,210.5800018,212.4299927,49325800
15-05-2025,211.4499969,212.9600067,209.5399933,210.9499969,45029500
16-05-2025,211.2599945,212.5700073,209.7700043,212.3600006,54737900
19-05-2025,208.7799988,209.4799957,204.2599945,207.9100037,46140500
20-05-2025,206.8600006,208.4700012,205.0299988,207.6699982,42496600
21-05-2025,202.0899963,207.0399933,200.7100067,205.1699982,59211800
22-05-2025,201.3600006,202.75,199.6999969,200.7100067,46742400
23-05-2025,195.2700043,197.6999969,193.4600067,193.6699982,78432900
27-05-2025,200.2100067,200.7400055,197.4299927,198.3000031,56288500
28-05-2025,200.4199982,1013.649979,39.97999878,200.5899963,45339700
29-05-2025,199.9499969,203.8099976,198.5099945,203.5800018,51396800
30-05-2025,200.8500061,201.9600067,196.7799988,199.3699951,70819900
02-06-2025,201.6999969,202.1300049,200.1199951,200.2799988,35343100
